"Name","Hometown","Position","Stars","Grade","School"
"Alphonse TaylorVideo | Scouts Report","Mobile, ALDavidson High School","#15 DT","","80","Signed12/23/2011"
"Chad VoytikVideo | Scouts Report","Cleveland, TNCleveland High School","#9 QB","","80","Signed07/28/2011"
"Avery JohnsonVideo | Scouts Report","Pompano Beach, FLBlanche Ely High School","#23 WR","","80","Signed09/02/2010"
"Raphael KirbyVideo | Scouts Report","Stone Mountain, GAStephenson High School","#13 OLB","","80","Signed05/17/2011"
"Kevon SeymourVideo | Scouts Report","Pasadena, CAJohn Muir High School","#15 ATH","","80","Signed01/07/2012"
"Aaron PorterVideo | Scouts Report","La Habra, CALa Habra High School","#6 ILB","","80","Signed07/04/2011"
"Latroy PittmanVideo | Scouts Report","Citra, FLNorth Marion High School","#24 WR","","80","Signed08/17/2010"
"Beniquez BrownVideo | Scouts Report","Florence, ALFlorence High School","#16 ATH","","80","Signed"
"Caleb PetersonVideo | Scouts Report","Auburn, ALAuburn High School","#11 OG","","80","Signed01/18/2012"
"Ondre PipkinsVideo | Scouts Report","Kansas City, MOPark Hill High School","#16 DT","","80","Signed08/08/2011"
"Amos LeggettVideo | Scouts Report","Miami, FLSouth Miami High School","#12 CB","","80","Signed01/17/2012"
"Cyler MilesVideo | Scouts Report","Denver, COJ. K. Mullen High School","#10 QB","","80","Signed06/03/2011"
"Matt JonesVideo | Scouts Report","Seffner, FLArmwood High School","#11 RB","","80","Signed02/14/2011"
"Paul ThurstonVideo | Scouts Report","Arvada, COArvada West High School","#17 OT","","80","Signed06/24/2011"
"Bryce TreggsVideo | Scouts Report","Bellflower, CASt. John Bosco High School","#25 WR","","80","Signed07/09/2011"
"Tanner MangumVideo | Scouts Report","Eagle, IDEagle High School","#11 QB","","80","Signed04/07/2011"
"Ja'Quay WilliamsVideo | Scouts Report","Tyrone, GASandy Creek High School","#26 WR","","80","Signed06/16/2011"
"Corey ColemanVideo | Scouts Report","Richardson, TXJ. J. Pearce High School","#17 ATH","","80","Signed05/25/2011"
"D'Arthur CowanVideo | Scouts Report","Olive Branch, MSOlive Branch High School","#27 WR","","80","Signed07/27/2011"
"J.J. DenmanVideo | Scouts Report","Fairless Hills, PAPennsbury High School","#18 OT","","80","Signed01/23/2012"
"Jamal MarcusVideo | Scouts Report","Durham, NCHillside High School","#16 DE","","80","Signed02/01/2012"
